#            iprt         eigenv.           conv.
         1.000000       -1.292726        1.000000
         2.000000       -1.231378        1.000000
         3.000000       -1.231378        1.000000
         4.000000       -1.231378        1.000000
         5.000000       -0.819670        1.000000
         6.000000       -0.819669        1.000000
         7.000000       -0.819669        1.000000
         8.000000       -0.638513        0.000000
         9.000000       -0.635924        1.000000
        10.000000       -0.635923        1.000000
