#            iprt         eigenv.           conv.
         1.000000       -1.292726        0.000000
         2.000000       -1.231378        1.000000
         3.000000       -1.231378        1.000000
         4.000000       -1.231378        0.000000
         5.000000       -0.819669        0.000000
         6.000000       -0.819668        0.000000
         7.000000       -0.819649        0.000000
         8.000000       -0.637401        0.000000
         9.000000       -0.635921        0.000000
        10.000000       -0.635756        0.000000
